row_id,recipe_id,ing_id,quantity
1,HDR-CAP-MD,ING001,8
2,HDR-CAP-MD,ING002,130
3,HDR-CAP-LG,ING001,10
4,HDR-CAP-LG,ING002,180
5,HDR-LAT-MD,ING001,8
6,HDR-LAT-MD,ING002,130
7,HDR-LAT-LG,ING001,10
8,HDR-LAT-LG,ING002,180
9,HDR-FLT,ING001,8
10,HDR-FLT,ING002,160
11,HDR-CRM-MD,ING001,8
12,HDR-CRM-MD,ING002,120
13,HDR-CRM-MD,ING009,20
14,HDR-CRM-LG,ING001,10
15,HDR-CRM-LG,ING002,160
16,HDR-CRM-LG,ING009,30
17,HDR-ESP,ING001,8
18,HDR-MOC-MD,ING001,8
19,HDR-MOC-MD,ING002,120
20,HDR-MOC-MD,ING007,20
21,HDR-MOC-LG,ING001,10
22,HDR-MOC-LG,ING002,160
23,HDR-MOC-LG,ING007,30
24,HDR-WMO-MD,ING001,8
25,HDR-WMO-MD,ING002,120
26,HDR-WMO-MD,ING008,20
27,HDR-WMO-LG,ING001,10
28,HDR-WMO-LG,ING002,160
29,HDR-WMO-LG,ING008,30
30,HDR-HCH-MD,ING002,130
31,HDR-HCH-MD,ING012,25
32,HDR-HCH-MD,ING013,20
33,HDR-HCH-MD,ING005,30
34,HDR-HCH-LG,ING002,180
35,HDR-HCH-LG,ING012,35
36,HDR-HCH-LG,ING013,30
37,HDR-HCH-LG,ING005,40
38,CDR-CCF-MD,ING001,8
39,CDR-CCF-MD,ING002,130
40,CDR-CCF-LG,ING001,10
41,CDR-CCF-LG,ING002,180
42,CDR-CMO-MD,ING001,8
43,CDR-CMO-MD,ING002,120
44,CDR-CMO-MD,ING007,20
45,CDR-CMO-LG,ING001,10
46,CDR-CMO-LG,ING002,160
47,CDR-CMO-LG,ING007,30
48,CDR-ICT-MD,ING017,10
49,CDR-ICT-MD,ING010,20
50,CDR-ICT-LG,ING016,15
51,CDR-ICT-LG,ING010,25
52,CDR-LMN-MD,ING014,1
53,CDR-LMN-MD,ING010,30
54,CDR-LMN-LG,ING014,1
55,CDR-LMN-LG,ING010,40
56,SNK-SHC,ING011,1
57,SNK-SHC,ING015,50
58,SNK-SHC,ING003,20
59,SNK-SSM,ING011,1
60,SNK-SSM,ING016,50
61,SNK-SSM,ING004,20
